score_momento,cnpj_basico,cnpj,razao_social,na_base_mestre,STATUS_RELACIONAMENTO_REAL,Porte,CNAE PRIMARIO,tipo_sinal,descricao,papel,qualificacao,qualificacao_desc,municipio,bairro,area_total,unidade_medida,data_evento,data_publicacao,idade_dias,peso,validade_dias,cno,fonte
4.96,61966631,61966631000154,MIRAJ PATACHO EMPREENDIMENTO IMOBILIARIO SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"MIRAJ PATACHO EMPREENDIMENTO IMOBILIARIO SPE LTDA — Porto De Pedras, 8.831 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,PORTO DE PEDRAS,PATACHO,8831.25,m2,2026-09-24,2026-09-24,1,5.0,120,900306926375,CNO / Receita Federal
4.75,51482387,51482387000109,PROJETO IMOBILIARIO RECORD 27 SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"CASA MAR ARTEFACTO — Porto De Pedras, 138.000 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,PORTO DE PEDRAS,LAGES,138000.41,m2,2026-09-19,2026-09-19,6,5.0,120,900306152070,CNO / Receita Federal
4.62,21575654,21575654000113,J.W. MARTINS ASSESSORIA EMPRESARIAL LTDA,False,,,,obra_nova,"J.W. MARTINS - BRISAS DE MARAGOGI — Maragogi, 11.562 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MARAGOGI,PEROBA,11561.66,m2,2026-09-16,2026-09-23,9,5.0,120,900306693177,CNO / Receita Federal
4.54,64272150,64272150000137,BARCELOS INCORPORACAO E INVESTIMENTOS SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"BARCELOS INCORPORACAO E INVESTIMENTOS SPE LTDA — Marechal Deodoro, 31.198 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MARECHAL DEODORO,POVOADO MALHADAS,31198.28,m2,2026-09-14,2026-09-14,11,5.0,120,900305184076,CNO / Receita Federal
4.38,12227641,12227641000162,(sem nome no CNO) CNPJ 12227641000162,False,,,,obra_nova,"DELTA SERVICOS GERAIS LTDA — Belém, 18.800 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,BELÉM,CENTRO,18800.0,Outra,2026-09-10,2026-09-11,15,5.0,120,900304802878,CNO / Receita Federal
4.38,24509006,24509006000157,DELTA SERVICOS GERAIS LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"DELTA SERVICOS GERAIS LTDA — Belém, 18.800 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,BELÉM,CENTRO,18800.0,Outra,2026-09-10,2026-09-11,15,5.0,120,900304802878,CNO / Receita Federal
4.0,59886495,59886495000140,UP STUDIOS EMPREENDIMENTO IMOBILIARIO SPE LTDA.,False,,,,obra_nova,"EDIFÍCIO UP! STUDIOS — Maceió, 7.487 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MACEIÓ,JATIUCA,7487.28,m2,2026-09-01,2026-09-01,24,5.0,120,900303153872,CNO / Receita Federal
4.0,55685383,55685383000170,ARCADIS SERVICOS E CONSULTORIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"ARCADIS SERVICOS E CONSULTORIA LTDA — Ouro Branco, 13.898 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,OURO BRANCO,Zona Rural,13898.4,m2,2026-09-01,2026-09-09,24,5.0,120,900304440678,CNO / Receita Federal
4.0,05841115,05841115000122,CONSTRUSAT ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CONSTRUSAT ENGENHARIA LTDA — Craíbas, 19.500 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,CRAÍBAS,CENTRO,19500.0,Outra,2026-09-01,2026-09-21,24,5.0,120,900306250577,CNO / Receita Federal
4.0,58075489,58075489000140,FORTALLECE EMPREENDIMENTO IMOBILIARIO SPE LTDA.,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"EDIFÍCIO DUO DESIGN — Maceió, 10.039 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MACEIÓ,PONTA DA TERRA,10038.86,m2,2026-09-01,2026-09-18,24,5.0,120,900306099778,CNO / Receita Federal
4.0,12258141,12258141000198,(sem nome no CNO) CNPJ 12258141000198,False,,,,obra_nova,"ARCADIS SERVICOS E CONSULTORIA LTDA — Ouro Branco, 13.898 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,OURO BRANCO,Zona Rural,13898.4,m2,2026-09-01,2026-09-09,24,5.0,120,900304440678,CNO / Receita Federal
4.0,08439549,08439549000199,(sem nome no CNO) CNPJ 08439549000199,False,,,,obra_nova,"CONSTRUSAT ENGENHARIA LTDA — Craíbas, 19.500 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,CRAÍBAS,CENTRO,19500.0,Outra,2026-09-01,2026-09-21,24,5.0,120,900306250577,CNO / Receita Federal
3.96,57179215,57179215000139,CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA,True,Somente SESI,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA — Marechal Deodoro, 21.474 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MARECHAL DEODORO,POVOADO TAPERAGUÁ,21474.44,m2,2026-08-31,2026-08-31,25,5.0,120,900302934179,CNO / Receita Federal
3.77,43773181,43773181000100,MOREIRA NOBRE ENGENHARIA LTDA,True,Somente SESI,MICRO EMPRESA,Construcao de edificios,obra_nova,"MOREIRA NOBRE ENGENHARIA LTDA — Barra De São Miguel, 1.041 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,BARRA DE SÃO MIGUEL,PRAIA BONITA,1041.4,m2,2026-09-18,2026-09-18,7,4.0,120,900306061672,CNO / Receita Federal
3.77,58011882,58011882000170,(sem nome no CNO) CNPJ 58011882000170,False,,,,obra_nova,"MOREIRA NOBRE ENGENHARIA LTDA — Barra De São Miguel, 1.041 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,BARRA DE SÃO MIGUEL,PRAIA BONITA,1041.4,m2,2026-09-18,2026-09-18,7,4.0,120,900306061672,CNO / Receita Federal
3.47,12264628,12264628000183,(sem nome no CNO) CNPJ 12264628000183,False,,,,obra_nova,"CL2 CONSTRUCOES LTDA — Campo Alegre, 1.500 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,CAMPO ALEGRE,SAO FRANCISCO,1499.72,m2,2026-09-09,2026-09-22,16,4.0,120,900306584775,CNO / Receita Federal
3.47,29210567,29210567000174,CL2 CONSTRUCOES LTDA,True,Sem relacionamento,MICRO EMPRESA,Construcao de edificios,obra_nova,"CL2 CONSTRUCOES LTDA — Campo Alegre, 1.500 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,CAMPO ALEGRE,SAO FRANCISCO,1499.72,m2,2026-09-09,2026-09-22,16,4.0,120,900306584775,CNO / Receita Federal
3.42,12225546,12225546000120,(sem nome no CNO) CNPJ 12225546000120,False,,,,obra_nova,"DUPLA INCORPORACOES & CONSTRUCOES LTDA — Piranhas, 250.000 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,PIRANHAS,centro,250000.0,Outra,2026-08-18,2026-09-02,38,5.0,120,900303459377,CNO / Receita Federal
3.42,35412200,35412200000136,DUPLA INCORPORACOES & CONSTRUCOES LTDA,False,,,,obra_nova,"DUPLA INCORPORACOES & CONSTRUCOES LTDA — Piranhas, 250.000 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,PIRANHAS,centro,250000.0,Outra,2026-08-18,2026-09-02,38,5.0,120,900303459377,CNO / Receita Federal
3.2,12333761,12333761000144,(sem nome no CNO) CNPJ 12333761000144,False,,,,obra_nova,"45 CASAS MAR VERMELHO — Mar Vermelho, 2.136 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MAR VERMELHO,CENTRO,2135.7,m2,2026-09-01,2026-09-18,24,4.0,120,900305951671,CNO / Receita Federal
3.2,04287461,04287461000148,UNICON CONSTRUCOES LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"45 CASAS MAR VERMELHO — Mar Vermelho, 2.136 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MAR VERMELHO,CENTRO,2135.7,m2,2026-09-01,2026-09-18,24,4.0,120,900305951671,CNO / Receita Federal
3.2,60142273,60142273000100,CONSORCIO CEIS ARAPIRACA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CONSORCIO RIACHO PIAUI CEIS — Arapiraca, 1.440 m2 (consórcio, responsável)",responsável,0109,Consórcio,ARAPIRACA,SAO LUIZ,1440.0,m2,2026-09-01,2026-09-18,24,4.0,120,900305983971,CNO / Receita Federal
3.2,04287461,04287461000148,UNICON CONSTRUCOES LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"25 UH POÇO DAS TRINCHEIRAS — Poço Das Trincheiras, 1.188 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,POÇO DAS TRINCHEIRAS,ZONA URBANA,1187.5,m2,2026-09-01,2026-09-21,24,4.0,120,900306354071,CNO / Receita Federal
3.2,04287461,04287461000148,UNICON CONSTRUCOES LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"25 UH DOIS RIACHOS — Dois Riachos, 1.188 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,DOIS RIACHOS,ZONA RURAL,1187.5,m2,2026-09-01,2026-09-21,24,4.0,120,900306237874,CNO / Receita Federal
3.2,12198693,12198693000158,(sem nome no CNO) CNPJ 12198693000158,False,,,,obra_nova,"CRECHE ZELIA BARBOSA CEIS — Arapiraca, 1.440 m2 (consórcio, vínculo)",vínculo,0109,Consórcio,ARAPIRACA,ZELIA BARBOSA ROCHA,1440.0,m2,2026-09-01,2026-09-08,24,4.0,120,900304216476,CNO / Receita Federal
3.2,12198693,12198693000158,(sem nome no CNO) CNPJ 12198693000158,False,,,,obra_nova,"CRECHE VILA SAO JOSE CEIS — Arapiraca, 1.440 m2 (consórcio, vínculo)",vínculo,0109,Consórcio,ARAPIRACA,VILA SÃO JOSE,1440.0,m2,2026-09-01,2026-09-08,24,4.0,120,900304219977,CNO / Receita Federal
3.2,12250916,12250916000189,(sem nome no CNO) CNPJ 12250916000189,False,,,,obra_nova,"50 UH SANTANA DO IPANEMA — Santana Do Ipanema, 2.375 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,SANTANA DO IPANEMA,ZONA RURAL,2375.0,m2,2026-09-01,2026-09-21,24,4.0,120,900306356474,CNO / Receita Federal
3.2,60142273,60142273000100,CONSORCIO CEIS ARAPIRACA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CRECHE ZELIA BARBOSA CEIS — Arapiraca, 1.440 m2 (consórcio, responsável)",responsável,0109,Consórcio,ARAPIRACA,ZELIA BARBOSA ROCHA,1440.0,m2,2026-09-01,2026-09-08,24,4.0,120,900304216476,CNO / Receita Federal
3.2,10198262,10198262000166,GAMMA SOLUCOES LTDA,True,Sem relacionamento,DEMAIS,Instalacao e manutencao eletrica,obra_nova,"GAMMA SOLUCOES LTDA — Joaquim Gomes, 2.056 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,JOAQUIM GOMES,BOA VISTA,2056.29,m2,2026-09-01,2026-09-08,24,4.0,120,900304186870,CNO / Receita Federal
3.2,00394544,00394544004253,(sem nome no CNO) CNPJ 00394544004253,False,,,,obra_nova,"GAMMA SOLUCOES LTDA — Joaquim Gomes, 2.056 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,JOAQUIM GOMES,BOA VISTA,2056.29,m2,2026-09-01,2026-09-08,24,4.0,120,900304186870,CNO / Receita Federal
3.2,12259040,12259040000131,(sem nome no CNO) CNPJ 12259040000131,False,,,,obra_nova,"25 UH POÇO DAS TRINCHEIRAS — Poço Das Trincheiras, 1.188 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,POÇO DAS TRINCHEIRAS,ZONA URBANA,1187.5,m2,2026-09-01,2026-09-21,24,4.0,120,900306354071,CNO / Receita Federal
3.2,04287461,04287461000148,UNICON CONSTRUCOES LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"50 UH SANTANA DO IPANEMA — Santana Do Ipanema, 2.375 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,SANTANA DO IPANEMA,ZONA RURAL,2375.0,m2,2026-09-01,2026-09-21,24,4.0,120,900306356474,CNO / Receita Federal
3.2,12198693,12198693000158,(sem nome no CNO) CNPJ 12198693000158,False,,,,obra_nova,"CONSORCIO RIACHO PIAUI CEIS — Arapiraca, 1.440 m2 (consórcio, vínculo)",vínculo,0109,Consórcio,ARAPIRACA,SAO LUIZ,1440.0,m2,2026-09-01,2026-09-18,24,4.0,120,900305983971,CNO / Receita Federal
3.2,12250908,12250908000132,(sem nome no CNO) CNPJ 12250908000132,False,,,,obra_nova,"25 UH DOIS RIACHOS — Dois Riachos, 1.188 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,DOIS RIACHOS,ZONA RURAL,1187.5,m2,2026-09-01,2026-09-21,24,4.0,120,900306237874,CNO / Receita Federal
3.2,60142273,60142273000100,CONSORCIO CEIS ARAPIRACA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CRECHE VILA SAO JOSE CEIS — Arapiraca, 1.440 m2 (consórcio, responsável)",responsável,0109,Consórcio,ARAPIRACA,VILA SÃO JOSE,1440.0,m2,2026-09-01,2026-09-08,24,4.0,120,900304219977,CNO / Receita Federal
3.17,22213836,22213836000107,"J3 INCORPORACAO, ENGENHARIA E CONSTRUCAO LTDA",True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"RESIDENCIAL SENADOR BENEDITO DE LIRA II — Rio Largo, 37.099 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,LOURENÇO DE ALBUQUERQUE,37099.0,m2,2026-08-12,2026-08-13,44,5.0,120,900300384678,CNO / Receita Federal
3.17,03190167,03190167000150,(sem nome no CNO) CNPJ 03190167000150,False,,,,obra_nova,"RESIDENCIAL SENADOR BENEDITO DE LIRA II — Rio Largo, 37.099 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,RIO LARGO,LOURENÇO DE ALBUQUERQUE,37099.0,m2,2026-08-12,2026-08-13,44,5.0,120,900300384678,CNO / Receita Federal
3.17,03190167,03190167000150,(sem nome no CNO) CNPJ 03190167000150,False,,,,obra_nova,"RESIDENCIAL IGREJA NOVA I — Igreja Nova, 13.310 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,IGREJA NOVA,CENTRO,13310.32,m2,2026-08-12,2026-08-13,44,5.0,120,900300383579,CNO / Receita Federal
3.17,22213836,22213836000107,"J3 INCORPORACAO, ENGENHARIA E CONSTRUCAO LTDA",True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"RESIDENCIAL IGREJA NOVA I — Igreja Nova, 13.310 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,IGREJA NOVA,CENTRO,13310.32,m2,2026-08-12,2026-08-13,44,5.0,120,900300383579,CNO / Receita Federal
3.12,06937784,06937784000165,SOLIDEZ ENGENHARIA LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"PARK PLAZA MURILOPOLIS — Maceió, 22.471 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MACEIÓ,SERRARIA,22471.43,m2,2026-08-11,2026-08-11,45,5.0,120,900299797779,CNO / Receita Federal
3.08,08343492,08343492000120,MRV ENGENHARIA E PARTICIPACOES SA,True,Somente SENAI,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"ILHA DE SAFIRA — Maceió, 34.292 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MACEIÓ,BARRO DURO,34291.95,m2,2026-08-10,2026-08-10,46,5.0,120,900299639077,CNO / Receita Federal
3.07,12335030,12335030000138,(sem nome no CNO) CNPJ 12335030000138,False,,,,obra_nova,"PAULO JACINTO — Paulo Jacinto, 1.780 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,PAULO JACINTO,SANTA INêS,1780.0,m2,2026-08-28,2026-09-14,28,4.0,120,900305057476,CNO / Receita Federal
3.07,41391511,41391511000169,CAVALCANTI FARIAS LTDA,True,Somente SESI,DEMAIS,Construcao de edificios,obra_nova,"PAULO JACINTO — Paulo Jacinto, 1.780 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,PAULO JACINTO,SANTA INêS,1780.0,m2,2026-08-28,2026-09-14,28,4.0,120,900305057476,CNO / Receita Federal
2.98,42831657,42831657000140,WL ENGENHARIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"WL ENGENHARIA LTDA — Canapi, 546 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,CANAPI,ZONA RURAL,546.09,m2,2026-09-24,2026-09-24,1,3.0,120,900307045772,CNO / Receita Federal
2.92,37075344,37075344000170,PHS ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"PHS ENGENHARIA LTDA — Rio Largo, 129 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,PREFEITO ANTÔNIO LINS DE SOUZA,128.53,m2,2026-09-22,2026-09-23,3,3.0,120,900306812079,CNO / Receita Federal
2.92,37075344,37075344000170,PHS ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"PHS ENGENHARIA LTDA — Rio Largo, 129 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,Prefeito Antônio Lins de Souza,128.53,m2,2026-09-22,2026-09-23,3,3.0,120,900306810577,CNO / Receita Federal
2.92,37075344,37075344000170,PHS ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"PHS ENGENHARIA LTDA — Rio Largo, 129 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,PREFEITO ANTÔNIO LINS DE SOUZA,128.53,m2,2026-09-22,2026-09-23,3,3.0,120,900306813874,CNO / Receita Federal
2.92,37075344,37075344000170,PHS ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"PHS ENGENHARIA LTDA — Rio Largo, 129 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,Prefeito Antônio Lins de Souza,128.53,m2,2026-09-22,2026-09-23,3,3.0,120,900306801570,CNO / Receita Federal
2.83,42831657,42831657000140,WL ENGENHARIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"WL ENGENHARIA LTDA — Canapi, 1.016 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,CANAPI,ZONA RURAL,1015.7,m2,2026-08-21,2026-08-24,35,4.0,120,900301902976,CNO / Receita Federal
2.83,12423715,12423715000136,CONSTRUTORA ROCHA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CONSTRUTORA ROCHA LTDA — Maceió, 15.106 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MACEIÓ,SERRARIA,15105.85,m2,2026-08-04,2026-08-07,52,5.0,120,900299474571,CNO / Receita Federal
2.8,42831657,42831657000140,WL ENGENHARIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"WL ENGENHARIA LTDA — Canapi, 259 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,CANAPI,ZONA RURAL,259.47,m2,2026-09-17,2026-09-17,8,3.0,120,900305817576,CNO / Receita Federal
2.72,23585778,23585778000105,SBV SOLUCOES AMBIENTAIS LTDA,False,,,,obra_nova,"SBV SOLUCOES AMBIENTAIS LTDA — Piranhas, 400 m3 (dono da obra, responsável)",responsável,0057,Dono da obra,PIRANHAS,NOSSA SENHORA DA SAUDE,400.0,m3,2026-09-14,2026-09-23,11,3.0,120,900306745971,CNO / Receita Federal
2.72,12376906,12376906000194,DJ2 ENGENHARIA LTDA,False,,,,obra_nova,"DJ2 ENGENHARIA LTDA — Marechal Deodoro, 100 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MARECHAL DEODORO,CONJUNTO JOSE DIAS,100.0,m2,2026-09-14,2026-09-17,11,3.0,120,900305693272,CNO / Receita Federal
2.7,01631604,01631604000107,(sem nome no CNO) CNPJ 01631604000107,False,,,,obra_nova,"CAMPESTRE/AL — Campestre, 1.575 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,CAMPESTRE,CENTRO,1575.0,m2,2026-08-17,2026-08-17,39,4.0,120,900300729176,CNO / Receita Federal
2.7,45944698,45944698000131,CONSTRUTORA MERIBA LTDA,True,Sem relacionamento,MICRO EMPRESA,Servicos de engenharia,obra_nova,"CAMPESTRE/AL — Campestre, 1.575 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,CAMPESTRE,CENTRO,1575.0,m2,2026-08-17,2026-08-17,39,4.0,120,900300729176,CNO / Receita Federal
2.68,06344668,06344668000132,DJG GAN CONSTRUCOES LTDA,False,,,,obra_nova,"DJG GAN CONSTRUCOES LTDA — Maceió, 896 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,JATIUCA,896.05,m2,2026-09-12,2026-09-12,13,3.0,120,900304958977,CNO / Receita Federal
2.68,61585865,61585865000151,(sem nome no CNO) CNPJ 61585865000151,False,,,,obra_nova,"DJG GAN CONSTRUCOES LTDA — Maceió, 896 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MACEIÓ,JATIUCA,896.05,m2,2026-09-12,2026-09-12,13,3.0,120,900304958977,CNO / Receita Federal
2.65,39580673,39580673000101,BRK AMBIENTAL - REGIAO METROPOLITANA DE MACEIO S.A.,True,SESI + SENAI,DEMAIS,"Captacao, tratamento e distribuicao de agua",obra_nova,"SAME CONSTRUTORA LTDA — Maceió, 500 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MACEIÓ,PRADO,500.0,Outra,2026-09-11,2026-09-15,14,3.0,120,900305380476,CNO / Receita Federal
2.65,23187835,23187835000106,SAME CONSTRUTORA LTDA,False,,,,obra_nova,"SAME CONSTRUTORA LTDA — Maceió, 500 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,PRADO,500.0,Outra,2026-09-11,2026-09-15,14,3.0,120,900305380476,CNO / Receita Federal
2.6,28851130,28851130000157,G LOPES DE OLIVEIRA JUNIOR CONSTRUTORA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"G LOPES DE OLIVEIRA JUNIOR CONSTRUTORA LTDA — Tanque D'Arca, 71 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,TANQUE D'ARCA,CENTRO,70.62,m2,2026-09-09,2026-09-22,16,3.0,120,900306560874,CNO / Receita Federal
2.58,15811119,15811119000111,(sem nome no CNO) CNPJ 15811119000111,False,,,,obra_nova,"ESTRUTURE ENGENHARIA LTDA — Satuba, 72 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,SATUBA,portal dos gregorios,72.0,m2,2026-09-08,2026-09-15,17,3.0,120,900305455079,CNO / Receita Federal
2.58,32783584,32783584000105,ESTRUTURE ENGENHARIA LTDA,False,,,,obra_nova,"ESTRUTURE ENGENHARIA LTDA — Satuba, 72 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,SATUBA,portal dos gregorios,72.0,m2,2026-09-08,2026-09-15,17,3.0,120,900305455079,CNO / Receita Federal
2.57,63432565,63432565000168,PIRANHAS 01 SPE EMPREENDIMENTO IMOBILIARIO LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"PIRANHAS 01 SPE EMPREENDIMENTO IMOBILIARIO LTDA — Piranhas, 2.499 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,PIRANHAS,CENTRO HISTORICO,2499.29,m2,2026-08-13,2026-08-13,43,4.0,120,900300337375,CNO / Receita Federal
2.53,34040345,34040345000352,(sem nome no CNO) CNPJ 34040345000352,False,,,,obra_nova,"SEDE ADM DO PORTO DE MACEIÓ — Maceió, 1.403 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MACEIÓ,JARAGUA,1403.11,m2,2026-08-12,2026-09-24,44,4.0,120,900307018178,CNO / Receita Federal
2.53,06034228,06034228000189,PLATAFORMA ENGENHARIA LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"SEDE ADM DO PORTO DE MACEIÓ — Maceió, 1.403 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MACEIÓ,JARAGUA,1403.11,m2,2026-08-12,2026-09-24,44,4.0,120,900307018178,CNO / Receita Federal
2.5,57206917,57206917000164,CONSORCIO PDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CRECHE CRIA CAMPO ALEGRE II — Campo Alegre, 2.025 m2 (sociedade líder de consórcio, vínculo)",vínculo,0111,Sociedade líder de consórcio,CAMPO ALEGRE,BELA VISTA (LUZIAPOLIS),2024.99,m2,2026-08-11,2026-09-23,45,4.0,120,900306692672,CNO / Receita Federal
2.5,06034228,06034228000189,PLATAFORMA ENGENHARIA LTDA,True,Somente SENAI,DEMAIS,Construcao de edificios,obra_nova,"CRECHE CRIA CAMPO ALEGRE I — Campo Alegre, 2.025 m2 (sociedade líder de consórcio, responsável)",responsável,0111,Sociedade líder de consórcio,CAMPO ALEGRE,CENTRO,2024.99,m2,2026-08-11,2026-09-23,45,4.0,120,900306671678,CNO / Receita Federal
2.5,12200218,12200218000179,(sem nome no CNO) CNPJ 12200218000179,False,,,,obra_nova,"CRECHE CRIA CAMPO ALEGRE I — Campo Alegre, 2.025 m2 (sociedade líder de consórcio, vínculo)",vínculo,0111,Sociedade líder de consórcio,CAMPO ALEGRE,CENTRO,2024.99,m2,2026-08-11,2026-09-23,45,4.0,120,900306671678,CNO / Receita Federal
2.5,57206917,57206917000164,CONSORCIO PDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CRECHE CRIA CAMPO ALEGRE I — Campo Alegre, 2.025 m2 (sociedade líder de consórcio, vínculo)",vínculo,0111,Sociedade líder de consórcio,CAMPO ALEGRE,CENTRO,2024.99,m2,2026-08-11,2026-09-23,45,4.0,120,900306671678,CNO / Receita Federal
