score_momento,cnpj_basico,cnpj,razao_social,na_base_mestre,STATUS_RELACIONAMENTO_REAL,Porte,CNAE PRIMARIO,tipo_sinal,descricao,papel,qualificacao,qualificacao_desc,municipio,bairro,area_total,unidade_medida,data_evento,data_publicacao,idade_dias,peso,validade_dias,cno,fonte
0.0,00796655,00796655000118,C DA C DA SILVA LTDA,True,Sem relacionamento,MICRO EMPRESA,Construcao de edificios,obra_nova,"C DA C DA SILVA  LTDA — Teotônio Vilela, 66 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,TEOTÔNIO VILELA,SAO JORGE,66.0,m2,2026-04-20,2026-07-28,158,3.0,120,900297690573,CNO / Receita Federal
0.0,34348652,34348652000133,METRA CONSTRUCOES LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"METRA CONSTRUCOES LTDA — Viçosa, 1 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,VIÇOSA,ZONA RURAL,1.0,Outra,2026-03-30,2026-09-04,179,3.0,120,900303861270,CNO / Receita Federal
0.0,22217896,22217896000106,(sem nome no CNO) CNPJ 22217896000106,False,,,,obra_nova,"AMORIM BARRETO ENGENHARIA LTDA — Arapiraca, 6 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,ARAPIRACA,ZONA RURAL,6.3,Outra,2026-05-20,2026-07-23,128,3.0,120,900297125875,CNO / Receita Federal
0.0,12248522,12248522000196,(sem nome no CNO) CNPJ 12248522000196,False,,,,obra_nova,"RVV CONSTRUCOES E EMPREENDIMENTOS LTDA — Maragogi, 200 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,MARAGOGI,Loteamento Portal de Maragogi,200.0,m2,2026-05-05,2026-07-29,143,3.0,120,900298018574,CNO / Receita Federal
0.0,18286438,18286438000143,CONSTRUTORA NOVO HORIZONTE LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CONSTRUTORA NOVO HORIZONTE LTDA — Junqueiro, 4.608 m2 (incorporador de construção civil, responsável)",responsável,0064,Incorporador de construção civil,JUNQUEIRO,GILBERTO PEREIRA,4607.69,m2,2026-04-06,2026-07-29,172,4.0,120,900297972474,CNO / Receita Federal
0.0,04895340,04895340000189,RVV CONSTRUCOES E EMPREENDIMENTOS LTDA,False,,,,obra_nova,"RVV CONSTRUCOES E EMPREENDIMENTOS LTDA — Maragogi, 200 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,MARAGOGI,Loteamento Portal de Maragogi,200.0,m2,2026-05-05,2026-07-29,143,3.0,120,900298018574,CNO / Receita Federal
0.0,41160680,41160680000198,F . P . CONSTRUTORA LTDA,True,SESI + SENAI,DEMAIS,Obras de terraplenagem,obra_nova,"IMPLANTAÇÃO E PAVIMENTAÇÃO DA RODOVIA - AL 201. TRECHO CAMPESTRE A JACUIPE — Jacuípe, 15 km (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,JACUÍPE,CENTRO,14.67,km,2026-05-20,2026-08-28,128,3.0,120,900302754874,CNO / Receita Federal
0.0,03318115,03318115000117,AMORIM BARRETO ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de rodovias e ferrovias,obra_nova,"AMORIM BARRETO ENGENHARIA LTDA — Arapiraca, 6 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,ARAPIRACA,ZONA RURAL,6.3,Outra,2026-05-20,2026-07-23,128,3.0,120,900297125875,CNO / Receita Federal
0.0,35335154,35335154000119,DBN - DEBONI SISTEMAS CONSTRUTIVOS LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"DBN-DEBONI SIST CONST LTDA-CRECHE CRIA-SANTANA DO IPANEMA II — Santana Do Ipanema, 811 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,SANTANA DO IPANEMA,MONUMENTO,811.46,m2,2026-05-19,2026-05-28,129,3.0,120,900287925176,CNO / Receita Federal
0.0,08563493,08563493000180,J R MELO DE LIMA,False,,,,obra_nova,"J R MELO DE LIMA — Maceió, 620 Outra (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MACEIÓ,PITANGUINHA,620.0,Outra,2026-04-15,2026-05-28,163,3.0,120,900287959879,CNO / Receita Federal
0.0,20359020,20359020000160,"ENZFLUOR COMERCIO, SERVICOS E TECNOLOGIA LTDA",True,Sem relacionamento,MICRO EMPRESA,Outras obras de engenharia civil nao especificadas anteriormente,obra_nova,"ENZFLUOR COMERCIO, SERVICOS E TECNOLOGIA LTDA — Ibateguara, 20.000 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,IBATEGUARA,SERRA DA CATITA,20000.0,Outra,2026-05-28,2026-05-28,120,5.0,120,900288021975,CNO / Receita Federal
0.0,32410406,32410406000139,ENGNORD CONSTRUCOES E SERVICOS LTDA,False,,,,obra_nova,"ENGNORD CONSTRUCOES E SERVICOS LTDA — Feira Grande, 680 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,FEIRA GRANDE,CENTRO,680.5,m2,2026-03-31,2026-05-29,178,3.0,120,900288154371,CNO / Receita Federal
0.0,08418714,08418714000126,VEGAS CONSTRUCAO CIVIL E LOCACOES LTDA,False,,,,obra_nova,"BLOCO DE SALAS DE AULA CAMPUS ARAPIRACA — Arapiraca, 5.600 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,ARAPIRACA,BOM SUCESSO,5600.0,m2,2026-05-07,2026-05-29,141,5.0,120,900288156374,CNO / Receita Federal
0.0,08418714,08418714000126,VEGAS CONSTRUCAO CIVIL E LOCACOES LTDA,False,,,,obra_nova,"CONSTRUÇAO DO BLOCO DE SALAS DE AULA DO CECA/ UFAL — Rio Largo, 3.798 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,RIO LARGO,MATA DO ROLO,3798.0,m2,2026-04-22,2026-05-29,156,4.0,120,900288157770,CNO / Receita Federal
0.0,07343582,07343582000158,MC CONSTRUCOES E ASSESSORIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"MC CONSTRUCOES E ASSESSORIA LTDA — Palestina, 390 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,PALESTINA,CENTRO,389.78,m2,2026-05-22,2026-06-01,126,3.0,120,900288377877,CNO / Receita Federal
0.0,16920473,16920473000147,PROGRESSO CONSTRUTORA E INCORPORADORA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"PROGRESSO CONSTRUTORA E INCORPORADORA LTDA — Girau Do Ponciano, 158 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,GIRAU DO PONCIANO,PROGRESSO,157.7,m2,2026-05-18,2026-06-03,130,3.0,120,900288809073,CNO / Receita Federal
0.0,55995354,55995354000105,AMSSANTO LTDA,True,Sem relacionamento,MICRO EMPRESA,Construcao de edificios,obra_nova,"SHOPPING PATACHO — Porto De Pedras, 1.155 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,PORTO DE PEDRAS,PATACHO,1155.36,m2,2026-05-18,2026-06-05,130,4.0,120,900289064670,CNO / Receita Federal
0.0,23001832,23001832000128,CONSTRUTORA REMAJ LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"CONSTRUTORA REMAJ LTDA — Rio Largo, 72 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,RIO LARGO,PREFEITO ANTONIO L DE SOUZA,72.42,m2,2026-05-26,2026-06-08,122,3.0,120,900289220770,CNO / Receita Federal
0.0,08660797,08660797000165,ALGARVE EMPREENDIMENTOS LTDA,False,,,,obra_nova,"ALGARVE EMPREENDIMENTOS LTDA — Maragogi, 3.966 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MARAGOGI,BARRA GRANDE,3965.91,m2,2026-05-08,2026-08-03,140,4.0,120,900298713573,CNO / Receita Federal
